Dataset,dataSource,Type,Continent,Continent.plot.summary,numSig,numAgg,numSeg,percAgg,percSeg,numSpp,numSites,Age,land.island
gbfishco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,14,8,6,0.571428571,0.428571429,78,48,33,land
gbmam78co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,0,3,0,1,16,19,33,land
gbmam83co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,0,3,0,1,14,19,33,land
gbmam93co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,0,3,0,1,19,14,33,land
gbrodco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,5,2,3,0.4,0.6,14,57,33,land
grbrfishco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,18,8,10,0.444444444,0.555555556,35,30,33,island
illwdb79co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,46,12,33,land
illwdb80co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,49,12,33,land
lmmammalco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,28,12,33,island
mahopco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,1,2,0.333333333,0.666666667,70,18,33,island
mojadsroco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,1,0,1,0,14,49,33,land
mojarodco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,1,1,0.5,0.5,14,52,33,land
montanemco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,0,3,0,1,26,28,33,land
montmammco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,26,28,33,land
ontariocco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,7,3,4,0.428571429,0.571428571,25,34,33,land
pueranolco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,8,11,33,land
rockymamco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,4,2,2,0.5,0.5,26,28,33,land
sonodsroco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,1,0,1,0,14,45,33,land
sonorodco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,4,4,0,1,0,14,48,33,land
swusdgroco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,1,1,0.5,0.5,15,29,33,land
swusdsroco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,16,9,7,0.5625,0.4375,27,129,33,land
swusrodco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,30,16,14,0.533333333,0.466666667,29,129,33,land
swussdroco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,0,2,0,1,14,21,33,land
texaqhco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,0,2,0,1,38,9,33,land
tiles272co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,1,2,0.333333333,0.666666667,21,16,33,island
tiles273co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,5,4,1,0.8,0.2,37,18,33,island
tiles274co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,2,1,1,0.5,0.5,41,18,33,island
tilesc1co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,4,4,0,1,0,41,12,33,island
tresmarbco.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,61,4,33,island
winleed1co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,70,3,67,0.042857143,0.957142857,112,14,33,island
winleed2co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,54,9,45,0.166666667,0.833333333,61,11,33,island
winleem1co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,3,0,3,0,1,23,9,33,island
winleem2co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,1,0,1,0,1,23,10,33,island
winleer1co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,70,0,70,0,1,102,12,33,island
winleer2co.txt,Gotelli and Ulrich,Gotelli & Ulrich,NA,North America,28,0,28,0,1,84,10,33,island
frigboco.txt,Gotelli and Ulrich,Gotelli & Ulrich,PI,Pacific Island,1,0,1,0,1,18,9,33,island
hawanb19co.txt,Gotelli and Ulrich,Gotelli & Ulrich,PI,Pacific Island,11,0,11,0,1,36,8,33,island
polyanteco.txt,Gotelli and Ulrich,Gotelli & Ulrich,PI,Pacific Island,5,0,5,0,1,43,62,33,island
polyanttco.txt,Gotelli and Ulrich,Gotelli & Ulrich,PI,Pacific Island,12,7,5,0.583333333,0.416666667,40,93,33,island
amazfishco.txt,Gotelli and Ulrich,Gotelli & Ulrich,SA,South America,8,0,8,0,1,41,31,33,land
galaboco.txt,Gotelli and Ulrich,Gotelli & Ulrich,SA,South America,16,2,14,0.125,0.875,23,15,33,island
orealbutco.txt,Gotelli and Ulrich,Gotelli & Ulrich,SA,South America,21,0,21,0,1,87,13,33,land
qcbirdsco.txt,Gotelli and Ulrich,Gotelli & Ulrich,SA,South America,6,1,5,0.166666667,0.833333333,30,41,33,island
